"Country Name","Country Code","Indicator Name","Indicator Code","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Afghanistan","AFG","Currency composition of PPG debt, all other currencies (%)","DT.CUR.OTHC.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7315","3.18600000000001","3.0681","3.23740000000001","3.5471","3.9871","4.1936","4.5249","5.5932","6.9958","6.83590000000001","6.7847","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, Deutsche mark (%)","DT.CUR.DMAK.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, Euro (%)","DT.CUR.EURO.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0702","0.0786","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, French franc (%)","DT.CUR.FFRC.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, Japanese yen (%)","DT.CUR.JYEN.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, Multiple currencies (%)","DT.CUR.MULC.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, Pound sterling (%)","DT.CUR.UKPS.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7342","1.3493","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, SDR (%)","DT.CUR.SDRW.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.3505","13.457","14.2972","16.8003","21.0694","22.1487","22.5991","22.6835","22.2878","21.4677","21.3976","21.7155","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, Swiss franc (%)","DT.CUR.SWFR.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Afghanistan","AFG","Currency composition of PPG debt, U.S. dollars (%)","DT.CUR.USDL.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.1838","82.0077","82.6347","79.9623","75.3835","73.8642","73.2073","72.7916","72.119","71.5365","71.6963","71.4212","","","","","","","","",
